epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,15766.8,0.94316,0.52138,1.04265,0.90564,0.40713,0.46017,0.32509,1.01155,0.59948,1.10424,5.7824e-05,5.7824e-05,5.7824e-05
42,15991.6,0.92274,0.49011,1.03402,0.90081,0.41677,0.47257,0.33387,1.02435,0.62413,1.10095,5.23196e-05,5.23196e-05,5.23196e-05
43,16194.8,0.91307,0.47913,1.027,0.89423,0.40332,0.4594,0.32502,1.00695,0.62026,1.09863,4.68152e-05,4.68152e-05,4.68152e-05
44,16395.4,0.89747,0.48105,1.02876,0.80669,0.47472,0.52574,0.37499,1.0042,0.62715,1.11482,4.13108e-05,4.13108e-05,4.13108e-05
45,16576.7,0.89379,0.46671,1.01628,0.84004,0.57844,0.62284,0.4568,0.99612,0.64741,1.10123,3.58064e-05,3.58064e-05,3.58064e-05
46,16784.2,0.88603,0.45833,1.02248,0.87836,0.44987,0.50595,0.36663,0.98755,0.60983,1.09933,3.0302e-05,3.0302e-05,3.0302e-05
47,16949.4,0.87923,0.45502,1.01552,0.87409,0.45733,0.51598,0.37297,0.9946,0.57446,1.10594,2.47976e-05,2.47976e-05,2.47976e-05
48,17139.1,0.8765,0.44742,1.01922,0.86872,0.45206,0.50751,0.36747,0.98342,0.57048,1.09898,1.92932e-05,1.92932e-05,1.92932e-05
49,17320.8,0.869,0.44607,1.00614,0.87502,0.45907,0.5153,0.37143,0.98523,0.57903,1.1011,1.37888e-05,1.37888e-05,1.37888e-05
50,17505.8,0.86259,0.44036,1.00578,0.86922,0.45807,0.51166,0.37191,0.98287,0.59378,1.10029,8.2844e-06,8.2844e-06,8.2844e-06
